
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
08:30:00;54;Réelle
08:00:00;46;Réelle
07:30:00;54;Réelle
07:00:00;36;Réelle
06:30:00;62;Réelle
06:00:00;30;Réelle
05:30:00;56;Réelle
05:00:00;56;Réelle
04:30:00;40;Réelle
04:00:00;84;Réelle
03:30:00;132;Réelle
03:00:00;118;Réelle
02:30:00;74;Réelle
02:00:00;66;Réelle
01:30:00;62;Réelle
01:00:00;72;Réelle
00:30:00;82;Réelle

17/12/2023;;
00:00:00;482;Réelle
23:30:00;58;Réelle
23:00:00;66;Réelle
22:30:00;22;Réelle
22:00:00;54;Réelle
21:30:00;26;Réelle
21:00:00;48;Réelle
20:30:00;34;Réelle
20:00:00;38;Réelle
19:30:00;40;Réelle
19:00:00;32;Réelle
18:30:00;50;Réelle
18:00:00;24;Réelle
17:30:00;54;Réelle
17:00:00;24;Réelle
16:30:00;50;Réelle
16:00:00;30;Réelle
15:30:00;44;Réelle
15:00:00;38;Réelle
14:30:00;36;Réelle
14:00:00;44;Réelle
13:30:00;30;Réelle
13:00:00;52;Réelle
12:30:00;22;Réelle
12:00:00;54;Réelle
11:30:00;28;Réelle
11:00:00;46;Réelle
10:30:00;36;Réelle
10:00:00;44;Réelle
09:30:00;46;Réelle
09:00:00;58;Réelle
08:30:00;76;Réelle
08:00:00;168;Réelle
07:30:00;56;Réelle
07:00:00;54;Réelle
06:30:00;54;Réelle
06:00:00;30;Réelle
05:30:00;50;Réelle
05:00:00;40;Réelle
04:30:00;40;Réelle
04:00:00;52;Réelle
03:30:00;34;Réelle
03:00:00;56;Réelle
02:30:00;30;Réelle
02:00:00;58;Réelle
01:30:00;46;Réelle
01:00:00;64;Réelle
00:30:00;38;Réelle

16/12/2023;;
00:00:00;54;Réelle
23:30:00;44;Réelle
23:00:00;50;Réelle
22:30:00;56;Réelle
22:00:00;54;Réelle
21:30:00;64;Réelle
21:00:00;70;Réelle
20:30:00;64;Réelle
20:00:00;374;Réelle
19:30:00;382;Réelle
19:00:00;448;Réelle
18:30:00;556;Réelle
18:00:00;1028;Réelle
17:30:00;1498;Réelle
17:00:00;1960;Réelle
16:30:00;1064;Réelle
16:00:00;76;Réelle
15:30:00;170;Réelle
15:00:00;192;Réelle
14:30:00;442;Réelle
14:00:00;556;Réelle
13:30:00;1124;Réelle
13:00:00;142;Réelle
12:30:00;264;Réelle
12:00:00;404;Réelle
11:30:00;1282;Réelle
